Serial,City,Datetime,NO2,CO,SO2,O3,PM10
430,Delhi,29/11/17 19:00,15.19,0.79,14.32,42.33,88.13
431,Delhi,29/11/17 20:00,15.43,0.77,14.24,39.6,83.4
432,Delhi,29/11/17 21:00,17.62,0.81,15.09,31.76,86.8
433,Delhi,29/11/17 22:00,18.84,0.86,16.48,29.29,96.02
434,Delhi,29/11/17 23:00,18.74,0.89,17.35,34.27,105.85
435,Delhi,30/11/17 0:00,17.47,0.89,17.81,44.37,115.82
436,Delhi,30/11/17 1:00,17.49,0.86,18.41,55.46,129.12
437,Delhi,30/11/17 2:00,15.65,0.84,20.07,69.94,132.04
438,Delhi,30/11/17 3:00,14.69,0.84,21.06,82.72,130.32
439,Delhi,30/11/17 4:00,13.75,0.85,20.74,93.41,122.27
440,Delhi,30/11/17 5:00,14.41,0.83,20.95,91.61,109.09
441,Delhi,30/11/17 6:00,14.4,0.81,20.12,95.04,103.94
442,Delhi,30/11/17 7:00,15.16,0.9,21.04,99.53,108.05
443,Delhi,30/11/17 8:00,15.48,0.81,21.66,94.92,108.07
444,Delhi,30/11/17 9:00,17.22,0.78,22.29,91.17,110.98
445,Delhi,30/11/17 10:00,18.67,0.77,20.64,80.85,152.6
446,Delhi,30/11/17 11:00,19.29,0.78,15.46,69.34,190.73
447,Delhi,30/11/17 12:00,23.42,0.87,15.15,50.75,108.18
448,Delhi,30/11/17 13:00,26.95,1,13.8,38.11,112.98
449,Delhi,30/11/17 14:00,29.68,1,14.41,29.85,122.26
450,Delhi,30/11/17 15:00,26.98,0.97,17.12,33.7,128.23
